"bg","bgArea","ParkArea","PropPark"
"390610064002",229375.050396465,22206.2655721582,0.0968120357195588
"390610064003",1077174.62287912,67807.5640730365,0.0629494630051696
"390610064004",898751.655646592,NA,0
"390610065001",1111287.51765767,302571.016392767,0.272270687454958
"390610065002",350083.845200418,71014.4266374443,0.202849767594358
"390610065003",593515.584432766,37221.4949456139,0.0627135932431954
"390610065004",649840.494019151,166340.154194641,0.255970743167844
"390610065005",320484.935902894,NA,0
"390610065006",344012.499585032,NA,0
"390610066001",501709.652707815,75512.8016735646,0.150510960405104
"390610066002",293186.447740585,63009.9860540292,0.214914388231823
"390610068001",703912.747248802,78671.9947163382,0.111763844345514
"390610068002",357124.376949795,16929.3851904068,0.04740473146919
"390610068003",667785.285686698,57834.6523891744,0.0866066588000689
"390610069001",610193.056136101,1571.43627590686,0.00257530999427886
"390610069002",232740.996778749,12319.2505265544,0.0529311582276393
"390610069003",481016.546770334,255348.690266159,0.530852196209536
"390610070001",1290950.8440613,566051.128174538,0.438476128489722
"390610070002",438791.000819504,13121.5553519704,0.0299038843719767
"390610070003",159342.531116392,NA,0
"390610071001",1933763.78334385,668984.527161895,0.345949455111364
"390610071002",418267.791838173,33913.3746834539,0.0810805310502486
"390610071003",513989.99554503,NA,0
"390610072001",271338.007112265,NA,0
"390610072002",728618.268001437,116568.424557674,0.159985591463985
"390610073001",596632.538862057,52478.4915497787,0.0879578100950875
"390610073002",4368076.24670844,110108.698757108,0.0252075954123008
"390610074001",292502.343457118,NA,0
"390610074002",366804.360479755,43129.3996889247,0.117581480308779
"390610074003",88019.5639478415,NA,0
"390610075001",1156907.8290793,202071.117863632,0.174664837409256
"390610075002",488637.257808819,272946.690409749,0.558587553543737
"390610077001",1164435.73333643,344242.977874933,0.295630723121645
"390610077002",1080021.93742594,140316.697109397,0.129920228698149
"390610078001",289052.194206625,14082.3011130383,0.0487188867453181
"390610078002",357110.036983706,23279.0923147145,0.0651874489760607
"390610078003",581134.675885195,135517.182420852,0.233194108085927
"390610079001",417979.640096992,9915.79981451057,0.0237231646311997
"390610079002",552164.390949801,188963.388553163,0.342223061918424
"390610080001",1626548.1113595,366895.299741903,0.225566829028651
"390610080002",3799679.28200168,470299.908275861,0.123773580181774
"390610081001",1882015.66546799,21168.1274856252,0.0112475830430251
"390610081002",949881.260444321,422940.59449119,0.445256277919782
"390610082011",319518.971218945,NA,0
"390610082012",895434.968247212,87453.1587402022,0.0976655612538666
"390610082013",426707.956164919,89347.0693314984,0.209386930898862
"390610082021",441131.491579682,10435.8902679226,0.0236570965055156
"390610082022",377400.223317593,20769.1378052398,0.0550321290821334
"390610082023",563112.170471236,46517.236878638,0.0826074081114433
"390610083001",842125.516384579,183128.863751358,0.217460295630951
"390610083002",719989.745355047,NA,0
"390610083003",990086.153131008,153694.666753245,0.155233629181872
"390610084001",2939869.46316155,1256518.68417725,0.427406284504205
"390610085011",4159742.81086723,3876858.35805117,0.931994725232284
"390610085012",1194879.17265195,605532.937683614,0.506773363820272
"390610085013",759980.371162817,188918.756918573,0.248583732010756
"390610085021",1053517.18721181,241905.264662342,0.229616818404792
"390610086011",612135.279819906,98399.6683442893,0.160748239136354
"390610086012",448676.48133795,57931.1051906347,0.129115537809971
"390610086013",1188163.88278511,433033.926287368,0.364456395756044
"390610086014",438826.312844455,191765.79892929,0.436997038045124
"390610088001",869153.563244008,17964.5458432478,0.0206690124771478
"390610088002",553673.136680088,NA,0
"390610092001",991067.503011506,128410.149678028,0.129567511080562
"390610092002",1253860.82953741,152519.16840029,0.121639630816571
"390610092003",873593.995488331,84443.8943809955,0.096662631402122
"390610093001",550656.963427007,59249.944414437,0.107598647342432
"390610093002",170244.077001438,NA,0
"390610093003",211407.936746031,52245.8627828296,0.247132929761259
"390610093004",219599.388353646,NA,0
"390610094001",424812.819024637,NA,0
"390610095001",120078.041750193,NA,0
"390610095002",180845.448277667,NA,0
"390610095003",353488.057460949,36593.8322210169,0.103522117504803
"390610096001",672697.482364088,106004.779213761,0.157581649988081
"390610096002",1306511.75280234,449642.275018874,0.344154787780848
"390610096003",267791.097442552,NA,0
"390610096004",199142.709113777,6265.094925371,0.0314603278887381
"390610097001",293480.092493787,24574.9081168114,0.0837362013484156
"390610097002",376211.508096494,43821.2689140991,0.11648040522689
"390610097003",766230.107583918,NA,0
"390610097004",275931.601781428,NA,0
"390610097005",205965.975386545,13829.5199123803,0.0671446819622795
"390610098001",962771.317842454,288270.081623424,0.299416981250989
"390610099011",420311.873955235,NA,0
"390610099012",614194.086978331,90071.9996472473,0.146650711162618
"390610099013",540309.155066952,NA,0
"390610099021",574323.337490752,NA,0
"390610099022",1037588.54945156,506661.524633387,0.488306781046487
"390610100021",306418.451947171,NA,0
"390610100022",567873.194589168,169543.31140403,0.298558398282362
"390610100023",289331.102672767,0.213808701315429,7.38975863086681e-07
"390610100024",845172.87156035,176264.306739793,0.208554146342127
"390610100025",841025.886849523,73733.1093635298,0.0876704397765134
"390610100031",1312302.52793577,102964.341832057,0.0784608271646158
"390610100032",528784.517448336,NA,0
"390610100033",347864.801983356,33892.8758834761,0.0974311735198139
"390610100041",353643.005078696,NA,0
"390610100042",712336.885827571,253200.228366437,0.355450115533855
"390610100043",516334.183171749,186067.705752353,0.360362942870394
"390610100051",808933.297382355,155565.292938158,0.192309172389806
"390610101001",2852643.82780529,2101116.21666317,0.736550492628337
"390610101002",585882.742806986,2102.4788895048,0.00358856599774853
"390610101003",579030.74878943,8503.23178361729,0.0146852853693778
"390610102011",276802.999312236,27044.2330469921,0.0977020954042698
"390610102012",193358.262916036,NA,0
"390610102013",1026437.07275985,9526.41592736286,0.00928105207828136
"390610102014",529074.785700157,NA,0
"390610102015",316991.641663954,NA,0
"390610102021",285462.644053549,12482.7616580084,0.0437281792137636
"390610102022",579798.419512272,38438.0644842384,0.0662955661668974
"390610102023",379237.924462199,61.3128754275531,0.000161673903037259
"390610103001",782022.081076976,360309.31135204,0.460740585298862
"390610103002",3185292.6313804,667958.090430327,0.209700698720687
"390610104001",3922520.67161363,76890.0701896914,0.0196022090453537
"390610104002",739351.755917714,NA,0
"390610105001",308389.014740229,0.0828037429600954,2.68504191142623e-07
"390610105002",614389.917243451,NA,0
"390610106001",2103749.19052726,413867.445704748,0.196728510969038
"390610107002",280035.608603477,NA,0
"390610108001",1040571.77012568,111026.923721357,0.10669799710975
"390610109001",589861.723553188,136853.677979714,0.232009761805427
"390610109002",983231.575877137,19591.9286874535,0.0199260572667996
"390610110001",802753.133914407,90796.3076188434,0.113106139089237
"390610110002",649316.057675481,NA,0
"390610111001",926709.557659194,135201.892335657,0.14589456989865
"390610208114",568598.392416514,52607.2202763216,0.0925208740966424
"390610263001",3851821.14486524,43561.7953812081,0.0113094024210546
"390610263002",1324641.81790109,130475.522923654,0.098498719548499
"390610264001",159723.637299746,35760.1224654527,0.223887478835354
"390610264002",183557.745988101,13025.6275154035,0.0709620149522203
"390610264003",250322.808084041,23682.75283151,0.0946088493205103
"390610265001",292987.515570104,26309.1522512561,0.0897961546247558
"390610265002",1828614.46854783,168242.464968086,0.0920054324527431
"390610266001",1370791.69522464,287984.174681078,0.210086022321492
"390610266002",921305.895331539,262369.498303746,0.284780005895144
"390610266003",1027230.11438244,84377.5346422805,0.0821408304340917
"390610267001",768249.091859788,9071.54754345678,0.0118080810502441
"390610267002",414701.909166902,NA,0
"390610268001",609966.821039557,16597.2500618018,0.0272100866626079
"390610269001",309716.90842586,6187.15427997479,0.0199768049843358
"390610269002",98884.2708746716,NA,0
"390610269003",435012.488393579,21174.4305704328,0.0486754544648272
"390610269004",108143.718703531,29.8888782269423,0.00027638108422072
"390610270001",399477.346845903,83482.4077556165,0.208979078325109
"390610270002",644581.201085433,58087.0667407087,0.0901159801789035
"390610270003",608652.096330643,NA,0
"390610270004",163530.008504733,9826.55122107927,0.0600902018591581
"390610271001",507738.575380981,NA,0
"390610271002",600586.916416824,177745.249883121,0.295952584088198
"390610271003",1617683.22951619,288632.142666948,0.178423153186344
"390610271004",256994.745646298,13950.7007704134,0.0542839922089838
"390610272001",515822.934278876,25124.2389145975,0.0487070993648651
"390610272002",509030.404798348,17445.7391832336,0.0342724894599267
"390610272003",359400.538366154,9462.29517244472,0.0263279938740788
