"GEOID","bus_count","propBuffQuarter","propBuffHalf"
"390610002001",13,0.997725644191793,1.00000000004014
"390610007001",33,0.999999999855985,0.999999999855985
"390610007002",129,0.999999999951485,0.999999999951485
"390610007003",131,0.999982350595268,1.00000000006985
"390610009001",19,1.00000000008563,1.00000000008563
"390610009002",20,1.0000000000301,1.0000000000301
"390610010001",9,1.00000000014022,1.00000000014022
"390610010002",24,0.9999999999941,0.9999999999941
"390610011001",23,0.999999999984209,0.999999999984209
"390610016001",22,0.999999999957284,0.999999999957284
"390610016002",31,1.00000000000322,1.00000000000322
"390610017001",17,0.999653846523541,1.00000000005185
"390610018001",26,1.00000000000562,1.00000000000562
"390610018002",23,0.886142417675342,1.00000000004183
"390610019001",10,0.89725816407544,0.999999999907823
"390610019002",30,0.98089452464082,1.00000000007722
"390610020001",7,0.700232422466749,0.999999999978901
"390610020002",6,0.987328940232446,1.00000000002765
"390610022001",6,0.980233179184067,0.999999999934691
"390610022002",9,0.80121744290096,0.999999999982046
"390610022003",11,0.934543319994224,1.00000000000882
"390610023001",35,0.838403862785877,0.999999999981401
"390610025001",18,1.0000000000654,1.0000000000654
"390610025002",4,0.999578503545884,0.999999999979093
"390610026001",10,0.914956010160663,0.999999999982733
"390610026002",10,0.835067226943291,1.0000000000003
"390610027001",24,0.859630107069394,0.999999999995364
"390610028001",27,0.727687061714466,1.00000000001925
"390610028002",27,0.794211449609157,0.99999999996957
"390610029001",3,0.53028592880899,0.996993833944755
"390610029002",8,0.459057788372924,0.980430112467387
"390610029003",10,0.748088934907395,0.999971582250347
"390610030001",22,0.966995708194427,0.999999999997216
"390610030002",14,0.835591512170557,0.999999999986376
"390610030003",18,0.925551235255148,0.999999999991993
"390610032001",56,0.92061809794999,1.00000000000796
"390610033001",12,0.994435669841905,0.999999999955713
"390610033002",35,0.875650807526733,0.999999999988644
"390610036001",3,0.805710553947928,0.999999999904704
"390610036002",7,0.624317789876762,1.00000000002088
"390610037001",18,0.995322415181905,1.00000000000188
"390610037002",12,1.00000000004539,1.00000000004539
"390610038001",13,0.632435333798947,0.999999999984748
"390610038002",9,0.97108409059379,1.00000000000982
"390610038003",3,0.836085383691245,1.00000000002556
"390610039001",4,0.999999999872924,0.999999999872924
"390610039002",1,0.766643758609867,0.999999999975514
"390610039003",10,0.952220805944057,1.00000000001854
"390610040001",9,0.630536371213923,1.00000000002135
"390610040002",9,0.973432078038685,0.999999999988426
"390610041001",8,0.723473728270899,1.00000000001785
"390610041002",15,0.77820297905703,0.999999999944945
"390610042001",13,0.714872179382926,0.999999999947803
"390610042002",4,0.91086261972041,1.00000000002677
"390610045001",4,0.0673694078140837,0.167477004110357
"390610046021",20,0.304613899212627,0.533203289342224
"390610046022",6,0.829845176480356,0.99999999999079
"390610046023",11,0.445928072367604,0.77592114908336
"390610046031",21,0.752495808732826,1.00000000002685
"390610046032",20,0.702356815018062,1.00000000001659
"390610046041",18,0.587871748542942,0.976230283748065
"390610046043",0,0.00818663212565958,0.231349145100865
"390610046051",20,0.512376898200643,0.957871278047004
"390610046052",4,0.0713680499131546,0.220292410114628
"390610047011",10,0.492803963759205,0.898746725003629
"390610047012",14,0.477843873890262,0.816158693919955
"390610047021",40,0.1673086953772,0.371362237460935
"390610048001",0,0.0322534723723892,0.292987461323174
"390610048002",9,0.645344006003874,1.000000000008
"390610048003",3,0.41861198863666,0.78255107214331
"390610049001",15,0.98429312474257,0.999999999982535
"390610049002",7,0.952886345142358,1.00000000000042
"390610049003",5,0.339924486460262,0.691356765843094
"390610049004",7,0.355072675548972,0.805713925262993
"390610049005",13,0.34101167371919,0.629489634102236
"390610050001",16,0.746350352569807,0.999999999974308
"390610050002",19,0.997562669256085,1.00000000000316
"390610050003",13,0.9999999999905,0.9999999999905
"390610050004",12,0.951576777708132,1.00000000001266
