"GEOID","Commercial","Downtown","Manufacturing","Office","OtherResidential","Planned Development","Recreation","Riverfront","SingleFamily","Urban Mixed"
"390610002001",0.182023287095856,0,0.0553989438320976,0,0.613859420951064,0.0400520638166655,0.108582878002597,0,8.34063017202913e-05,0
"390610007001",0,1,0,0,0,0,0,0,0,0
"390610007002",0,1,0,0,0,0,0,0,0,0
"390610007003",0,0.978354047804493,0,0,0,0.0216412306280508,0,0,0,0
"390610009001",0.708086459863922,0,4.38059762219488e-08,0,0.284152689579307,0.000639476253327755,0.00712111213703168,0,0,0
"390610009002",0.441230937892778,0.336500555946147,0,0,7.12229272683405e-05,0.222191507543072,0,0,0,0
"390610010001",0.804396187851023,0,0.00233194901539476,0,0,0.193270574748412,0,0,0,0
"390610010002",0.700175918267756,0.259803839946836,0,0,0,0,0.040020241785408,0,0,0
"390610011001",0.220702896519961,0.390714105606607,0,0.086592121228827,0.299842607112968,0,0.00179326458409195,0,0.000355004947544359,0
"390610016001",0.64112352199481,0,0,0,0.232810715899499,0,0.0662257360959513,0,0,0.0598400260097403
"390610016002",0.455856614581805,0,0.0361415701852974,0,0.107034410648679,0.0375205690246167,0.0334311475947655,0,0.0248256010933928,0.305190086871444
"390610017001",0.395529920442457,0,0.100548276743936,0,0.435638454388198,0,0.0269245509562874,0,0.0413587974691216,0
"390610018001",0.111809394709527,0,0,0.225106801609534,0.428773948218417,0,1.98820059968574e-08,0,0.234309835580516,0
"390610018002",0.0571966339098344,0,0,0.0426854243425038,0.337639226391922,0.00165947076445738,0.132700027826706,0,0.428119216764577,0
"390610019001",0.0321686942721254,0,0,0.0658917292032945,0.533965119365248,0,0.367974452966359,0,0,0
"390610019002",0.0254457429607047,0,1.23828121073066e-05,0.00236830535222699,0.110727607730224,5.97582760022529e-07,0.830793861090156,0,0.0306515024718213,0
"390610020001",0,0,0,0.171884205191996,0.594724218235434,0.00252393285556052,0.03556932802799,0,0.195298315689019,0
"390610020002",0,0,0,0.383327621160726,0.61096686060672,0,0.00570551823255304,0,0,0
"390610022001",0.150660635877373,0,0.0357721866498125,0.164170614539227,0.134144045283811,0,2.31267599434681e-09,0,0.5152525153371,0
"390610022002",3.24377616106057e-05,0,0,0.236277412382427,0.336126793940751,0.00334676740241435,0,0,0.424216588512796,0
"390610022003",0.032832170473175,0,0,0.260870692194422,0.663240852433977,0.0430562848984256,0,0,0,0
"390610023001",0.00401001904736423,0,0,0.108756041070556,0.525675409695397,0.0529634492499742,0.243448397977036,0,0.0651466829596731,0
"390610025001",0.264591348070261,0,0,0.00121372219083502,0.576715026272663,0.033618591056591,0.017038195359409,0,0.106820764369497,2.30005596609187e-06
"390610025002",0.0119637071384934,0,0.00861053542509302,0,0.219831934890535,6.96001150361418e-05,0.303831475130563,0,0.455692747300279,0
"390610026001",0.133504743860596,0,0,0,0.62342890343824,2.19362396217187e-07,0,0,0.243066133338768,0
"390610026002",0.0484584463377235,0,0.00877400105134859,0.12544624212576,0.273390431549629,0,0.00607569096556271,0,0.389368168556618,0.148487019413358
"390610027001",0.00629117109125194,0,0.00158624730245056,0.0555191631330416,0.197818550445629,0,0.26491110636945,0,0.472496562113113,0.00137719954506402
"390610028001",0.0381901800855359,0,0.878865534878843,0.0121786295804382,0.022056042610308,0.00491110876249283,0.0125383312304474,0,0.0312600736985304,0
"390610028002",0.0697530239377885,0,0.885990348015449,0.00157544467420933,0.0425040600523911,0,0.00017712332016236,0,0,0
"390610029001",0.0532149223338592,0,0,0,0.595668997234054,0.125627986911861,0.158224739719032,0,0.0672530753711292,0
"390610029002",0.000199846161775337,0,0,0,0.798124021766537,0,0.00055246124546624,0,0.201123627848331,0
"390610029003",0.134958929694963,0,0.0492478350881081,0.047176863988268,0.325110991684644,0,0.0732619165558084,0,0.370243462988208,0
"390610030001",0.0769930492475005,0,0,0.0185258842671148,0.341978793653716,0,0.447153127211886,0,0.115348215436457,0
"390610030002",0.000766986262065489,0,0,0.0202902912717683,0.962806980718986,0,0.0161199245348619,0,0,0
"390610030003",0.000247003858782097,0,0,0.00803985979561158,0.596265312691456,5.90382058120461e-05,0.395388785440122,0,0,0
"390610032001",0.0246463983246803,0,0,0.00839623673791459,0.839109571996022,0.0890452903289321,0.0388020628820599,0,0,0
"390610033001",0.0656465887893152,0,0,0.586749363345651,0.318498586814207,0.0189788834855814,0.010125802653815,0,0,0
"390610033002",0.396431767850732,0,0,0.145038595454827,0.40164960311999,0.0558161177344475,0.00106391356224696,0,0,0
"390610036001",0.0205704057531537,0,0,0,0.8041842670325,0,0.0591167534738032,0,0.116128573740543,0
"390610036002",0.103020899465835,0,0.324461496521123,0,0.558938571653143,0,0.00871127813909395,0,0.00486775422080501,0
"390610037001",0.162033673991019,0,0,0.173094586409227,0.520444874123934,0.0637376890972379,0.00940096820624349,0,0.0712875592546542,0
"390610037002",0.00106773548000808,0,0,1.15517421724753e-09,0.998931795766709,0,0,0,0,0
"390610038001",0.0770721889066438,0,0.208361941090546,0,0.234536091935892,0.0609007907295601,0.0500575936917034,0,0.369071200613234,0
"390610038002",0.0731175869943443,0,0,0,0.235715844389641,0,0,0,0.691166568616014,0
"390610038003",0,0,0,0,0.359856319875379,0,0.148705740364183,0,0.491437939760438,0
"390610039001",0.13247531614881,0,0,0,0.102340991442202,0,0.000147775088199394,0,0.765035917320789,0
"390610039002",0,0,0,0,0.000413251151902348,0,0,0,0.999586748848098,0
"390610039003",0.0609962318060115,0,0,0,0.505347737241713,0,0.0736999213604695,0,0.359955072072474,0
"390610040001",0,0,0,0,0.199725822392336,7.62552431822168e-05,0.000566036965510491,0,0.799631885398971,0
"390610040002",0.0191987874414037,0,0.198765604155254,0,0.169140444766784,0.115519482854678,0.0574131815039666,0,0.4378426409281,0
"390610041001",0.0920179635915494,0,0,0,0.479144138133392,0.0426894765880481,0.0430131459465544,0,0.343135235209579,0
"390610041002",0.0763666725081953,0,0,0.0263016349685139,0.148103528916368,0.0334109841038138,0.140171752974525,0,0.5756454147633,0
"390610042001",0.105127845036718,0,0,0.000162328445325597,0.111965021751717,0.00927918334323721,0.0692858877107978,0,0.704179517848659,0
"390610042002",0.0133055766663046,0,0,0.0322273415554389,0.470832048943938,0.0252511806981865,0.0269988055361493,0,0.431384885115151,0
"390610045001",0.0141689610758689,0,0,0,0.0115848618446169,0,0.226100083298824,0.297526809169713,0.255725577583876,0
"390610046021",0.0541447881770897,0,0,0,0.035444945591634,0.0616208667693306,0,0,0.574708415404802,0
"390610046022",0.0308742039521388,0,0,0,0.288775881156549,0,0.0268720954614949,0,0.653477819429817,0
